,Tweets,date,source,likes,retweet,image_url
0,NEW: Potential Tropical Cyclone Fourteen triggers # tropical storm warnings and watches in Cuba and Mexico. This system will be a U.S. Gulf Coast threat next week: https://wxch.nl/2y3u1ac pic.twitter.com/qCqjyD6VnI,1538862010,https://twitter.com/weatherchannel/status/1048689395749085185,215,147,https://pbs.twimg.com/media/Do2xOHsX4AE90B-.jpg
1,Watch as a weather balloon climbs to the stratosphere! Join @ LisiNearSpace and @ DanielleBanksTV on The Weather Channel app at 5pm.,1538858260,https://twitter.com/weatherchannel/status/1048673669730455552,41,12,
2,# Invest91L will likely develop into a # tropical depression or storm Sunday or Monday in the northwestern Caribbean Sea or southern Gulf of Mexico: https://wxch.nl/2NsfoSu pic.twitter.com/JyVMOO6KlF,1538853400,https://twitter.com/weatherchannel/status/1048653282699300864,118,70,https://pbs.twimg.com/media/Do2QZGnXsAAEzq6.jpg
3,NEW: # Severe thunderstorm watch issued for eastern Illinois and northern Indiana until 10 p.m. EDT.pic.twitter.com/YDlkLe2nW7,1538852378,https://twitter.com/weatherchannel/status/1048648998414893057,29,12,https://pbs.twimg.com/media/Do2MtNaXUAEB16u.jpg
4,"# Tropical cyclone is likely to form in the Arabian Sea this weekend and track towards Oman, Yemen next week: https://wxch.nl/2EbkCCC pic.twitter.com/vWaMvcAfM8",1538848260,https://twitter.com/weatherchannel/status/1048631724027011072,90,54,https://pbs.twimg.com/media/Do15CxxU8AAqurs.jpg
5,". @ kericak from @ southfriedtruth is excited about our new show Storm of Suspicion premiering Sunday 8/7c! If you like crime shows and weather, you'll love it!pic.twitter.com/3NUKekWr4m",1538841601,https://twitter.com/weatherchannel/status/1048603797059244033,24,5,https://pbs.twimg.com/media/Doxb9omXkAYjEP_.jpg
6,Hurricane # Sergio is expected to make a sharp U-turn toward Baja California next week and may increase moisture into the Southwest: https://wxch.nl/2OFyXLF pic.twitter.com/4BvPSKYhbb,1538839440,https://twitter.com/weatherchannel/status/1048594730366324737,125,70,https://pbs.twimg.com/media/Do1UXjgV4AU0hzg.jpg
7,Who are you rooting for today? # CollegeFootballhttps://twitter.com/AMHQ/status/1048583028963004416 …,1538836747,https://twitter.com/weatherchannel/status/1048583434518634496,33,11,
8,"First widespread heavy # snow of the season is expected this weekend into next week in parts of the Rockies, Plains: https://wxch.nl/2DZOdyQ pic.twitter.com/6WLIRfeyj8",1538834220,https://twitter.com/weatherchannel/status/1048572836212867072,129,69,https://pbs.twimg.com/media/Do0tw4lXkAImPrw.jpg
9,Heavy rain will bring the threat of flash # flooding and river flooding to parts of Plains and Upper Midwest into next week: https://wxch.nl/2BXVAV8 pic.twitter.com/fMboGDP5uY,1538831340,https://twitter.com/weatherchannel/status/1048560756763947008,69,39,https://pbs.twimg.com/media/Do0tT0mX0AUv7SG.jpg
